Year,Month,Day,Time (in MPH),Speed
2020,10,18,10:00:35,<Direction.EXIT: 2>
2020,10,18,10:01:20,<Direction.EXIT: 2>
2020,10,18,10:01:21,<Direction.EXIT: 2>
2020,10,18,10:02:15,<Direction.EXIT: 2>
2020,10,18,10:10:43,<Direction.EXIT: 2>
2020,10,18,10:40:45,<Direction.EXIT: 2>
2020,10,18,10:42:18,<Direction.EXIT: 2>
2020,10,18,10:43:06,<Direction.EXIT: 2>
2020,10,18,10:43:19,<Direction.EXIT: 2>
2020,10,18,10:45:42,<Direction.EXIT: 2>
2020,10,18,10:50:02,<Direction.EXIT: 2>
2020,10,18,10:50:48,<Direction.EXIT: 2>
2020,10,18,11:08:46,<Direction.EXIT: 2>
2020,10,18,11:10:30,<Direction.EXIT: 2>
2020,10,18,11:10:33,<Direction.EXIT: 2>
2020,10,18,11:18:08,<Direction.EXIT: 2>
2020,10,18,11:21:27,<Direction.EXIT: 2>
2020,10,18,11:21:35,<Direction.EXIT: 2>
2020,10,18,11:24:52,<Direction.EXIT: 2>
2020,10,18,11:38:42,<Direction.EXIT: 2>
2020,10,18,11:42:13,<Direction.EXIT: 2>
2020,10,18,11:47:31,<Direction.EXIT: 2>
2020,10,18,11:47:34,<Direction.EXIT: 2>
2020,10,18,11:52:00,<Direction.EXIT: 2>
2020,10,18,11:53:22,<Direction.EXIT: 2>
2020,10,18,11:53:22,<Direction.EXIT: 2>
2020,10,18,11:54:49,<Direction.EXIT: 2>
2020,10,18,12:00:46,<Direction.EXIT: 2>
2020,10,18,12:03:06,<Direction.EXIT: 2>
2020,10,18,12:05:59,<Direction.EXIT: 2>
2020,10,18,12:06:01,<Direction.EXIT: 2>
2020,10,18,12:25:55,<Direction.EXIT: 2>
2020,10,18,12:28:21,<Direction.EXIT: 2>
2020,10,18,12:28:22,<Direction.EXIT: 2>
2020,10,18,12:29:57,<Direction.EXIT: 2>
2020,10,18,12:30:31,<Direction.EXIT: 2>
2020,10,18,12:30:44,<Direction.EXIT: 2>
2020,10,18,12:30:47,<Direction.EXIT: 2>
2020,10,18,12:30:47,<Direction.EXIT: 2>
2020,10,18,12:33:19,<Direction.EXIT: 2>
2020,10,18,12:33:21,<Direction.EXIT: 2>
2020,10,18,12:37:56,<Direction.EXIT: 2>
2020,10,18,12:37:58,<Direction.EXIT: 2>
2020,10,18,12:42:32,<Direction.EXIT: 2>
2020,10,18,12:46:44,<Direction.EXIT: 2>
2020,10,18,12:46:47,<Direction.EXIT: 2>
2020,10,18,12:52:08,<Direction.EXIT: 2>
2020,10,18,12:55:16,<Direction.EXIT: 2>
2020,10,18,13:00:28,<Direction.EXIT: 2>
2020,10,18,13:02:16,<Direction.EXIT: 2>
2020,10,18,13:03:31,<Direction.EXIT: 2>
2020,10,18,13:04:41,<Direction.EXIT: 2>
