Year,Month,Day,Time,Direction
2020,10,28,10:16:04,<Direction.ENTER: 1>
2020,10,28,19:26:07,<Direction.ENTER: 1>
2020,10,28,19:33:06,<Direction.ENTER: 1>
2020,10,28,20:31:58,<Direction.ENTER: 1>
2020,10,28,10:16:04,<Direction.ENTER: 1>
2020,10,28,19:26:07,<Direction.ENTER: 1>
2020,10,28,19:33:06,<Direction.ENTER: 1>
2020,10,28,20:31:58,<Direction.ENTER: 1>
2020,10,28,10:16:04,<Direction.ENTER: 1>
2020,10,28,19:26:07,<Direction.ENTER: 1>
2020,10,28,19:33:06,<Direction.ENTER: 1>
2020,10,28,20:31:58,<Direction.ENTER: 1>
2020,10,28,10:16:04,<Direction.ENTER: 1>
2020,10,28,19:26:07,<Direction.ENTER: 1>
2020,10,28,19:33:06,<Direction.ENTER: 1>
2020,10,28,20:31:58,<Direction.ENTER: 1>
2020,10,28,10:16:04,<Direction.ENTER: 1>
2020,10,28,19:26:07,<Direction.ENTER: 1>
2020,10,28,19:33:06,<Direction.ENTER: 1>
2020,10,28,20:31:58,<Direction.ENTER: 1>
2020,10,28,10:16:04,<Direction.ENTER: 1>
2020,10,28,19:26:07,<Direction.ENTER: 1>
2020,10,28,19:33:06,<Direction.ENTER: 1>
2020,10,28,20:31:58,<Direction.ENTER: 1>
