Year,Month,Day,Time (in MPH),Speed
2020,08,22,21:53:49,0.3853776340433986,215349201355
2020,08,22,21:58:14,0.43895982236863285,215814120520
2020,08,22,23:12:21,0.14479549789650342,231221066964
2020,08,22,23:13:27,0.14773872306078226,231327935251
2020,08,22,23:13:43,0.05894574167657707,231343416577
2020,08,22,23:13:43,0.13084199727233767,231343822866
2020,08,22,23:13:44,0.15688427294288573,231344104330
2020,08,22,23:13:52,0.12055639278636965,231352807658
2020,08,22,23:14:14,0.18806552225402187,231414602916
2020,08,22,23:14:36,0.13075334892455218,231436759036
2020,08,22,23:14:52,0.06651433424893764,231452672684
2020,08,22,23:14:53,0.1456434450846993,231453015485
2020,08,22,23:14:53,0.20024709028481644,231453252807
2020,08,22,23:20:53,0.8711196582394077,232053045311
2020,08,22,23:21:08,0.855705178789143,232108170895
2020,08,22,23:21:08,0.5325739733564733,232108335174
2020,08,22,23:21:08,0.4754399121890612,232108516098
2020,08,22,23:21:08,0.5281797129275213,232108569144
2020,08,22,23:21:08,0.5170978235120294,232108766391
2020,08,22,23:21:08,0.4049910521905579,232108947310
2020,08,22,23:21:09,0.5831441383788124,232109122998
2020,08,22,23:54:39,<Direction.ENTER: 1>,235439609612
2020,08,22,23:54:40,<Direction.ENTER: 1>,235440148714
2020,08,22,23:54:54,<Direction.ENTER: 1>,235454773261
2020,08,22,23:54:54,<Direction.ENTER: 1>,235454947234
2020,08,22,23:54:55,<Direction.ENTER: 1>,235455127809
2020,08,22,23:54:55,<Direction.ENTER: 1>,235455175625
2020,08,22,23:54:55,<Direction.ENTER: 1>,235455319869
2020,08,22,23:54:55,<Direction.ENTER: 1>,235455372454
2020,08,22,23:54:55,<Direction.ENTER: 1>,235455556029
2020,08,22,23:54:55,<Direction.ENTER: 1>,235455750476
2020,08,22,23:55:24,<Direction.ENTER: 1>,235524753213
2020,08,22,23:55:24,<Direction.ENTER: 1>,235524927510
2020,08,22,23:55:25,<Direction.ENTER: 1>,235525126906
2020,08,22,23:56:22,<Direction.ENTER: 1>,235622163188
2020,08,22,23:56:22,<Direction.ENTER: 1>,235622676894
2020,08,22,23:56:37,<Direction.ENTER: 1>,235637110771
2020,08,22,23:56:37,<Direction.ENTER: 1>,235637277765
2020,08,22,23:56:37,<Direction.ENTER: 1>,235637445997
2020,08,22,23:56:37,<Direction.ENTER: 1>,235637501746
2020,08,22,23:56:37,<Direction.ENTER: 1>,235637631484
2020,08,22,23:56:37,<Direction.ENTER: 1>,235637679086
2020,08,22,23:56:37,<Direction.ENTER: 1>,235637852825
2020,08,22,23:56:38,<Direction.ENTER: 1>,235638055351
2020,08,22,23:57:06,<Direction.ENTER: 1>,235706431653
2020,08,22,23:57:06,<Direction.ENTER: 1>,235706595825
2020,08,22,23:57:06,<Direction.ENTER: 1>,235706778331
2020,08,23,00:02:29,<Direction.ENTER: 1>,000229586874
2020,08,23,00:02:44,<Direction.ENTER: 1>,000244706445
2020,08,23,00:02:44,<Direction.ENTER: 1>,000244875158
2020,08,23,00:02:45,<Direction.ENTER: 1>,000245048128
2020,08,23,00:02:45,<Direction.ENTER: 1>,000245094824
2020,08,23,00:02:45,<Direction.ENTER: 1>,000245221020
2020,08,23,00:02:45,<Direction.ENTER: 1>,000245271892
2020,08,23,00:02:45,<Direction.ENTER: 1>,000245456324
2020,08,23,00:02:45,<Direction.ENTER: 1>,000245631398
2020,08,23,00:03:14,<Direction.ENTER: 1>,000314311751
2020,08,23,00:03:14,<Direction.ENTER: 1>,000314482362
2020,08,23,00:03:14,<Direction.ENTER: 1>,000314661175
2020,08,23,00:05:18,<Direction.ENTER: 1>,000518980095
2020,08,23,00:05:33,<Direction.ENTER: 1>,000533139083
2020,08,23,00:05:33,<Direction.ENTER: 1>,000533513156
2020,08,23,00:06:01,<Direction.ENTER: 1>,000601393085
2020,08,23,00:08:20,<Direction.ENTER: 1>,000820797017
2020,08,23,00:09:06,<Direction.ENTER: 1>,000906238163
2020,08,23,00:09:18,<Direction.ENTER: 1>,000918918801
2020,08,23,00:09:20,<Direction.ENTER: 1>,000920581983
2020,08,23,00:09:20,<Direction.ENTER: 1>,000920972859
2020,08,23,00:09:48,<Direction.ENTER: 1>,000948985953
2020,08,23,00:10:30,<Direction.ENTER: 1>,001030927553
2020,08,23,00:10:45,<Direction.ENTER: 1>,001045149700
2020,08,23,00:10:45,<Direction.ENTER: 1>,001045526619
2020,08,23,00:11:10,<Direction.ENTER: 1>,001110604103
2020,08,23,00:11:23,<Direction.ENTER: 1>,001123050960
2020,08,23,00:11:24,<Direction.ENTER: 1>,001124747789
2020,08,23,00:11:25,<Direction.ENTER: 1>,001125132629
2020,08,23,00:11:52,<Direction.ENTER: 1>,001152456240
2020,08,23,00:41:31,<Direction.ENTER: 1>,004131673758
2020,08,23,00:41:44,<Direction.ENTER: 1>,004144615398
2020,08,23,00:41:46,<Direction.ENTER: 1>,004146289315
2020,08,23,00:41:46,<Direction.ENTER: 1>,004146657009
2020,08,23,00:42:14,<Direction.ENTER: 1>,004214071443
2020,08,23,00:56:21,<Direction.ENTER: 1>,005621162925
2020,08,23,00:56:33,<Direction.ENTER: 1>,005633604272
2020,08,23,00:56:35,<Direction.ENTER: 1>,005635275043
2020,08,23,00:56:35,<Direction.ENTER: 1>,005635756603
2020,08,23,00:57:03,<Direction.ENTER: 1>,005703408792
